A Whole New World (Aladdin)

Chinese Title: 崭新的世界 (Zhǎnxīn de Shìjiè)

I can show you the world, 我愿和你分享 (Wǒ yuàn hé nǐ fēnxiǎng) 
Shining shimmering splendid, 这世界多么宽广 (Zhè shìjiè duōme kuānguǎng) 
Tell me princess now when did, 只要你随我前往 (Zhǐyào nǐ suí wǒ qiánwǎng) 
You last let your heart decide, 那是你梦想的地方 (Nà shì nǐ mèngxiǎng de dìfāng) 
I can open your eyes, 缘分从天而降 (Yuánfèn cóngtiān érjiàng) 
Take you wonder by wonder, 这美妙不可言讲 (Zhè měimiào bùkěyánjiǎng) 
Over sideways and under, 抛开烦恼和忧伤 (Pāokāi fánnǎo hé yōushāng) 
On a magic carpet ride, 我们可以去流浪 (Wǒmen kěyǐ qù liúlàng) 
A whole new world, 新世界 (Xīn shìjiè) 
A new fantastic point of view, 陌生的光亮在眼前 (Mòshēng de guāngliàng zài yǎnqián) 
No one to tell us no, 这里没人说不 (Zhèlǐ méirén shuō bù) 
Or where to go, 不用束缚 (Bùyòng shùfù) 
Or say we're only dreaming, 给我希望和方向 (Gěi wǒ xīwàng hé fāngxiàng) 
A whole new world, 新世界 (Xīn shìjiè) 
A dazzling place I never knew, 多么灿烂 多么无限 (Duōme cànlàn duōme wúxiàn) 
But when I'm way up here, 当我飞翔天际 (Dāng wǒ fēixiáng tiānjì) 
It's crystal clear, 伴着星星 (Bànzhe xīngxīng) 
That now I'm in a whole new world with you, 我的世界因为你而改变 (Wǒ de shìjiè yīnwèi nǐ ér gǎibiàn)
