Let It Go (Frozen)


Chinese Title:, 请务必给我带来改变

The snow glows white on the mountain tonight, 今晚山上的雪光亮洁白
Not a footprint to be seen, 没有半点脚印
A kingdom of isolation, 一个隔离的王国
And it looks like I'm the queen, 看起来我像是女王
The wind is howling like this swirling storm inside, 风呼啸着像这旋涡内的暴风雨
Couldn't keep it in heaven knows I've tried, 不能在天上隐瞒我知道我已经尝试过
Don't let them in don't let them see, 不要让他们进来不要让他们看到
Be the good girl you always have to be, 做你一直要做的好女孩
Conceal don't feel don't let them know, 隐藏不要感受不要让他们知道
Well now they know, 现在他们知道了
Let it go let it go, 放手放手
Can't hold it back anymore, 不能忍了
Let it go let it go, 放开放开
Turn away and slam the door, 转身关门bang一声
I don't care what they're going to say, 我不管他们
Let the storm rage on, 让暴风雨来得更猛烈些吧
The cold never bothered me anyway, 冷风从不曾让我感到不适
