More Than I Can Say


Whoa whoa yea yea, Ooh Ooh Yea Yea, 哇哇yeah哇yeah
I love you more than I can say, 我比能说的更爱你
I'll love you twice as much tomorrow, 我明天爱你更多
Whoa love you more than I can say, Ooh, 爱超过我所能表达哦
Whoa whoa yea yea, Ooh Ooh Yea, 哇哇yeah嘎嘎yeah
Yea I miss you every single day, 我每天每時每刻都你
Why must my life be filled with sorrow, 为什么我的生活充满悲伤
Whoa love you more than I can say, Ooh, 爱超过我能说的，哦
Don't you know I need you so, 你不知道我需要你如此
Tell me please I gotta know, 告诉我请让我知道
Do you mean to make me cry, 你是不是想要我哭
Am I just another guy, 我是不是另一个好
