Reflection (Mulan)

Chinese Title: 自己 (Zìjǐ)

Look at me, 仔细看 (Zǐxì kàn) 
You may think you see, 你看到的我 (Nǐ kàndào de wǒ) 
Who I really am, 不仅是平常 (Bùjǐn shì píngcháng) 
But you'll never know me, 那个柔弱女孩 (Nàgè róuruò nǚhái) 
Every day, 一整天 (Yī zhěng tiān) 
It's as if I play a part, 我要把真心 (Wǒ yào bǎ zhēnxīn) 
Now I see, 全部掩盖 (Quánbù yǎngài) 
If I wear a mask, 这就是个 (Zhè jiùshì gè) 
I can fool the world, 最好的安排 (Zuìhǎo de ānpái) 
But I cannot fool my heart, 最好的安排 (Zuìhǎo de ānpái)  
Who is that girl I see, 我眼中的自己 (Wǒ yǎnzhōng de zìjǐ) 
Staring straight back at me, 每一天都相信 (Měi yītiān dōu xiāngxìn) 
Why is my reflection someone I don't know, 活得越来越像 我爱的自己 (Huó de yuè lái yuè xiàng wǒ ài de zìjǐ) 
Somehow I cannot hide, 不愿意生活中 (Bù yuànyì shēnghuó zhōng) 
Who I am, 掩饰真心 (Yǎnshì zhēnxīn) 
Though I've tried, 敷衍了 (Fūyǎnle) 
When will my reflection show, 爱我的人的眼睛 (Ài wǒ de rén de yǎnjīng) 
Who I am inside, 我心中的秘密 (Wǒ xīnzhōng de mìmì)
