A Whole New World (Aladdin)


Chinese Title:, 请在此输入您要翻译的英文歌词，当前没有提供需要翻译的英文歌词内容。

I can show you the world, 我可以带你看看世界
Shining shimmering splendid, 闪耀耀眼灿烂
Tell me princess now when did, 公主
You last let your heart decide, 你最后让心脏决定
I can open your eyes, 我可以让你的眼睛睁开
Take you wonder by wonder, 带你看奇观奇观
Over sideways and under, 斜着过去从下面穿过
On a magic carpet ride, 在魔毯ride上飞翔
A whole new world, 一个全新的世界
A new fantastic point of view, 一个新的奇妙视角
No one to tell us no, 没有人告诉我们不可以
Or where to go, 去哪里
Or say we're only dreaming, 我们只在梦中
A whole new world, 一个全然新的世界
A dazzling place I never knew, 一个炫目的地方我从未知晓
But when I'm way up here, 但我在这里上面
It's crystal clear, 它非常清楚
That now I'm in a whole new world with you, 我现在和你在一个全新的世界
