Take Me To Your Heart



Hiding from the rain and snow, 躲避着雨和雪
Trying to forget but I won't let go, 努力忘记但我不放手
Looking at a crowded street, 看着拥挤的街道
Listening to my own heart beat, 听着我心跳
So many people all around the world, 很多人在全世界各地
Tell me where do I find someone like you girl, 告诉我我在哪里能找到像你这样的女孩
Take me to your heart take me to your soul, 带我到你的心里带我到你的灵魂
Give me your hand before I'm old, 给你双手在我变老之前
Show me what love is haven't got a clue, 给我展示什么是爱我全然不知
Show me that wonders can be true, 显示奇迹可以是真实的
