Take Me To Your Heart / Goodbye Kiss


Hiding from the rain and snow, 前尘往事成云烟 (Qiánchén wǎngshì chéng yúnyān) 
Trying to forget but I won't let go, 消散在彼此眼前 (Xiāosàn zài bǐcǐ yǎnqián) 
Looking at a crowded street, 就连说过了再见 (Jiùlián shuōguòle zàijiàn) 
Listening to my own heart beat, 也看不见你有些哀怨 (Yě kàn bùjiàn nǐ yǒuxiē āiyuàn) 
So many people all around the world, 给我的一切你不过是在敷衍 (Gěi wǒ de yīqiè nǐ bùguò shì zài fūyǎn) 
Tell me where do I find someone like you girl, 你笑的越无邪我就会爱你爱得更狂野 (Nǐ xiào de yuè wúxié wǒ jiù huì ài nǐ ài dé gèng kuángyě) 
Take me to your heart take me to your soul, 我和你吻别 在无人的街 (Wǒ hé nǐ wěnbié zài wúrén de jiē) 
Give me your hand before I'm old, 让风痴笑我不能拒绝 (Ràng fēng chīxiào wǒ bùnéng jùjué) 
Show me what love is haven't got a clue, 我和你吻别 在狂乱的夜 (Wǒ hé nǐ wěnbié zài kuángluàn de yè) 
Show me that wonders can be true, 我的心 等着迎接伤悲 (Wǒ de xīn děngzhe yíngjiē shāngbēi)
