Reflection (Mulan)


Chinese Title:, 请在此输入需要翻译的英文歌词文本。

Look at me, 看我
You may think you see, 你也许看见
Who I really am, 我真正是谁
But you'll never know me, 你将永远不了解我
Every day, 每天
It's as if I play a part, 我好像在演戏
Now I see, 现在我看见
If I wear a mask, 如果我戴上面具
I can fool the world, 我可以让世界受骗
But I cannot fool my heart, 但我不能欺骗我的心脏
Who is that girl I see, 我看见的是哪个女孩
Staring straight back at me, 直直地看着我
Why is my reflection someone I don't know, 为什么我的倒影是个陌生人
Somehow I cannot hide, 我无法隐藏
Who I am, 我是什么
Though I've tried, 虽然我已尝试
When will my reflection show, 我的倒影何时显现
Who I am inside, 我内心的真实自我
