Better Man (Robbie Williams) / Better Man (Sandy Lam)


Send someone to love me, 找个人来爱我 (Zhǎo gè rén lái ài wǒ) 
I need to rest in arms, 我害怕一个人 (Wǒ hàipà yīgè rén) 
Keep me safe from harm, 独自去生活 (Dúzì qù shēnghuó) 
In pouring rain, 也就是 (Yě jiù shì) 
Give me endless summer, 找个借口让我 (Zhǎo gè jièkǒu ràng wǒ) 
Lord I fear the cold, 觉得更难过 (Juéde gèng nánguò) 
Feel I'm getting old, 既然你想走 (Jìrán nǐ xiǎng zǒu) 
Before my time, 就别回头 (Jiù bié huítóu) 
As my soul heals the shame, 既然我已没有 (Jìrán wǒ yǐ méiyǒu) 
I will grow through this pain, 挽留你的理由 (Wǎnliú nǐ de lǐyóu) 
Lord I'm doing all I can, 我只希望你找到 (Wǒ zhǐ xīwàng nǐ zhǎodào) 
To be a better man, 更好的出口 (Gèng hǎo de chūkǒu)
