Let It Go (Frozen)

Chinese Title: 随它吧 (Suí Tā Ba)

The snow glows white on the mountain tonight, 白雪发亮 铺满我的过往 (Báixuě fāliàng pūmǎn wǒ de guòwǎng) 
Not a footprint to be seen, 没有脚印的地方 (Méiyǒu jiǎoyìn de dìfāng) 
A kingdom of isolation, 孤立的王国很荒凉 (Gūlì de wángguó hěn huāngliáng) 
And it looks like I'm the queen, 我是这里的女皇 (Wǒ shì zhèlǐ de nǚhuáng) 
The wind is howling like this swirling storm inside, 漫天飞雪 在心里疯狂飞扬 (Màntiān fēixuě zài xīnlǐ fēngkuáng fēiyáng) 
Couldn't keep it in heaven knows I've tried, 消极的想法 哪怕一如既往 (Xiāojí de xiǎngfǎ nǎpà yīrújìwǎng) 
Don't let them in don't let them see, 不被任何人看穿真相 (Bù bèi rènhé rén kànchuān zhēnxiàng) 
Be the good girl you always have to be, 做个好女孩 像从前一样 (Zuò gè hǎo nǚhái xiàng cóngqián yīyàng) 
Conceal don't feel don't let them know, 关上门 别去想 哪怕这真相 (Guānshàng mén bié qù xiǎng nǎpà zhè zhēnxiàng) 
Well now they know, 已被揭开 (Yǐ bèi jiēkāi) 
Let it go let it go, 随它吧 随它吧 (Suí tā ba suí tā ba) 
Can't hold it back anymore, 回头已没办法 (Huítóu yǐ méi bànfǎ) 
Let it go let it go, 随它吧 随它吧 (Suí tā ba suí tā ba) 
Turn away and slam the door, 一转身不再牵挂 (Yī zhuǎnshēn bù zài qiānguà) 
I don't care what they're going to say, 我不管 他们想说的话 (Wǒ bùguǎn tāmen xiǎng shuō dehuà) 
Let the storm rage on, 任风吹雨打 (Rèn fēng chuī yǔ dǎ) 
The cold never bothered me anyway, 反正冰天雪地我也不怕 (Fǎnzhèng bīngtiān xuědì wǒ yě bùpà)
