Beauty and the Beast

Chinese Title: 美女与野兽 (Měinǚ Yǔ Yěshòu)

Tale as old as time, 海洋与星空 (Hǎiyáng yǔ xīngkōng) 
True as it can be, 本来不相通 (Běnlái bù xiāngtōng) 
Barely even friends, 朝夕相对中 (Zhāoxī xiāngduì zhōng) 
Then somebody bends, 在互相感动 (Zài hùxiāng gǎndòng) 
Unexpectedly, 在互相感动 (Zài hùxiāng gǎndòng) 
Just a little change, 我们能想象 (Wǒmen néng xiǎngxiàng) 
Small to say the least, 爱情的力量 (Àiqíng de lìliàng) 
Both a little scared, 比岁月坚强 (Bǐ suìyuè jiānqiáng) 
Neither one prepared, 战胜了别人 (Zhànshèngle biérén) 
Beauty and the Beast, 奇异的目光 (Qíyì de mùguāng)
