Can You Feel The Love Tonight (The Lion King) / 今夜我感觉到爱 (Jīnyè Wǒ Gǎnjué Dào Ài)

There's a calm surrender, 我心充满宁静 (Wǒ xīn chōngmǎn níngjìng) 
To the rush of day, 充满着温情 (Chōngmǎnzhe wēnqíng) 
When the heat of a rolling wind, 就像狂风过去 (Jiù xiàng kuángfēng guòqù) 
Can be turned away, 不必再担心 (Bùbì zài dānxīn) 
An enchanted moment, 这是一个神奇 (Zhè shì yīgè shénqí) 
And it sees me through, 美妙的时刻 (Měimiào de shíkè) 
It's enough for this restless warrior, 让这不安的勇士 (Ràng zhè bù'ān de yǒngshì) 
Just to be with you, 充满了爱意 (Chōngmǎnle àiyì) 
Can you feel the love tonight, 今夜我感觉到爱 (Jīnyè wǒ gǎnjué dào ài) 
It is where we are, 就在我身边 (Jiù zài wǒ shēnbiān) 
It's enough for this wide-eyed wanderer, 足以让这流浪的游子 (Zúyǐ ràng zhè liúlàng de yóuzǐ) 
That we got this far, 不再觉孤单 (Bùzài jué gūdān)
