I'll Make a Man Out of You (Mulan)


Chinese Title:, 请在此输入您要翻译的英文歌词，当前没有提供需要翻译的英文歌词内容。

Let's get down to business, 让我们开始做事
To defeat the Huns, 击败匈奴
Did they send me daughters, 他们派给我女儿们
When I asked for sons, 当我求子
You're the saddest bunch I ever met, 你是最SadkestBunch我Evermeet
But you can bet before we're through, 但在我们结束之前你可以打赌
Mister I'll make a man out of you, 先生我会把你变成男人
Be a man, 做男人
We must be swift as the coursing river, 我们必须swift如疾流河水
Be a man, 做男人
With all the force of a great typhoon, (直;line_by;line_translator:)风起云涌之力)
Be a man, 做男人
With all the strength of a raging fire, raging火的全部力量
Mysterious as the dark side of the moon, 神秘如月亮的暗面
