I'll Make a Man Out of You (Mulan)

Chinese Title: 男子汉 (Nánzǐhàn)

Let's get down to business, 哪怕敌人再多 (Nǎpà dírén zài duō) 
To defeat the Huns, 我也会守着 (Wǒ yě huì shǒuzhe) 
Did they send me daughters, 谁有那种本领 (Shéi yǒu nà zhǒng běnlǐng) 
When I asked for sons, 能够取代我 (Nénggòu qǔdài wǒ) 
You're the saddest bunch I ever met, 这种身手也想做士兵 (Zhè zhǒng shēnshǒu yě xiǎng zuò shìbīng) 
But you can bet before we're through, 看来我只好指望我 (Kàn lái wǒ zhǐhǎo zhǐwàng wǒ) 
Mister I'll make a man out of you, 只有我可以改变你 (Zhǐyǒu wǒ kěyǐ gǎibiàn nǐ) 
Be a man, 男子汉 (Nánzǐhàn) 
We must be swift as the coursing river, 行动快速像那江河湍急 (Xíngdòng kuàisù xiàng nà jiānghé tuānjí) 
Be a man, 男子汉 (Nánzǐhàn) 
With all the force of a great typhoon, 破坏力像那风暴无情 (Pòhuàilì xiàng nà fēngbào wúqíng) 
Be a man, 男子汉 (Nánzǐhàn) 
With all the strength of a raging fire, 满腔热血像那野火压境 (Mǎnqiāng rèxuè xiàng nà yěhuǒ yājìng) 
Mysterious as the dark side of the moon, 神出鬼没像那暗夜的噩梦 (Shénchūguǐmò xiàng nà ànyè de èmèng)
