More Than I Can Say / 爱你在心口难开

Whoa whoa yea yea, Ooh Ooh Yea Yea 
I love you more than I can say, 爱你在心口难开 (Ài nǐ zài xīnkǒu nán kāi) 
I'll love you twice as much tomorrow, 我不知道应该说些什么 (Wǒ bù zhīdào yīnggāi shuō xiē shénme) 
Whoa love you more than I can say, Ooh 爱你在心口难开 (Ài nǐ zài xīnkǒu nán kāi) 
Whoa whoa yea yea, Ooh Ooh Yea 
Yea I miss you every single day, 一天不见就想你 (Yītiān bùjiàn jiù xiǎng nǐ) 
Why must my life be filled with sorrow, 也想要听听你的声音 (Yě xiǎng yào tīng tīng nǐ de shēngyīn) 
Whoa love you more than I can say, Ooh 爱你在心口难开 (Ài nǐ zài xīnkǒu nán kāi) 
Don't you know I need you so, 你可知道我爱谁 (Nǐ kě zhīdào wǒ ài shéi) 
Tell me please I gotta know, 你要相信我的爱 (Nǐ yào xiāngxìn wǒ de ài) 
Do you mean to make me cry, 哪怕海枯石烂 (Nǎpà hǎikūshílàn) 
Am I just another guy, 哪怕沧海桑田 (Nǎpà cānghǎisāngtián)
